block_number,block_timestamp,tx_type,transaction_hash,transaction_index,log_index,reserve,owner,amount,liquidator,debt_asset,debt_amount,atoken
52002237,2024-01-06 09:49:59,AAVE_SUPPLY,0x2d3ba597425626c684615455cb55479fcc80ade1762cb1aed52254be589bb5ff,62,318,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf1324ff50210f9ff0c4e9a9cb71d9d3b2bdc0550,6594602772,,,,
52002262,2024-01-06 09:50:53,AAVE_REPAY,0x39825c08e4065ec3864c357761b74164a71a349a91658e6fef38c83b1deae46c,21,136,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x20bdc0f700ea7d1e6e4a798c8ac4a40250c05419,13020000,,,,0.0
52002290,2024-01-06 09:51:53,AAVE_REPAY,0x9961fa734fa0dde83abf5df148ae334da143405fc43ca389bd50f2dcebcb662c,36,121,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x18c3827eec6510bf0d5a863923463a55411cd87a,18689907016,,,,0.0
52002301,2024-01-06 09:52:15,AAVE_REPAY,0x178f2cf9744db3b7690802422916087f117364be8ad61ed1736d25d52403e711,28,134,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf1324ff50210f9ff0c4e9a9cb71d9d3b2bdc0550,4701189609,,,,0.0
52002356,2024-01-06 09:54:13,AAVE_SUPPLY,0xd2cbda710bd850ddf16714954791c9f3721765f4ca48bbe01755ae20d73cddf7,22,326,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xf1324ff50210f9ff0c4e9a9cb71d9d3b2bdc0550,3253537051,,,,
52002359,2024-01-06 09:54:19,AAVE_WITHDRAW,0x3756f6732b3f178337fc552433520ecb37be7196002596eefdb6ed366aad5b3f,38,157,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x43d2c6cfbdd5ed179b2213160d37f0383547fbb3,10707100000,,,,
52002408,2024-01-06 09:56:03,AAVE_SUPPLY,0x55d14b44a5c1705176fb33e759ad99f7c32ddb0387257f81a6bbd6bc5fcc6397,49,317,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x43d2c6cfbdd5ed179b2213160d37f0383547fbb3,10707100000,,,,
52002431,2024-01-06 09:56:51,AAVE_REPAY,0xf31978dcf6f8c2cdf443fd162bec8c11881e2fe707219db683a58ce0e5043911,80,350,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x4d0d044fddd7c6d6121e664d816cadc175d374f7,599977005,,,,0.0
52002474,2024-01-06 09:58:23,AAVE_REPAY,0x46b3c82ee05514c17e07451915299f6091af8c0b911f9fa6fd42e865b74ba682,94,434,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x4d0d044fddd7c6d6121e664d816cadc175d374f7,289155350,,,,0.0
52002490,2024-01-06 09:58:57,AAVE_WITHDRAW,0xe8292fb7a2bb1c4fcbef6238099c0c17de6a04a379825a5a2c8df21ba222f66a,27,146,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xb028522b0914e29da2dd4e58521103de8cc5de41,150000000,,,,
52002568,2024-01-06 10:01:44,AAVE_WITHDRAW,0xa8cff5167d36b2615d584f2b394463bf0ae2f61df810720c9738924321702c06,41,175,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0x43d2c6cfbdd5ed179b2213160d37f0383547fbb3,10707100000,,,,
52002569,2024-01-06 10:01:46,AAVE_WITHDRAW,0x02d6075c406eb657a34a6aad952bc5a6a1c655136c28d19bd233fa0f0f19f99f,61,1026,0x2791bca1f2de4661ed88a30c99a7a9449aa84174,0xb81bcc782742c5ec4a58fe0c6d180ed10acac3c7,2760000,,,,
